Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,geo_norm,lat,lon
336867,375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Winter 2014-15,12/1/14,23.97,,Flushing and Whitestone,40.768,-73.82048191711087
336741,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Winter 2014-15,12/1/14,27.42,,Upper West Side,40.78891752489024,-73.97505990095844
550157,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2017,1/1/17,12.55,,Rockaway and Broad Channel,40.590225,-73.79470850859974
412802,375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Winter 2015-16,12/1/15,22.63,,Flushing and Whitestone,40.768,-73.82048191711087
412803,375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Summer 2016,6/1/16,14.0,,Flushing and Whitestone,40.768,-73.82048191711087
412676,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Winter 2015-16,12/1/15,26.43,,Upper West Side,40.78891752489024,-73.97505990095844
412677,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Summer 2016,6/1/16,19.1,,Upper West Side,40.78891752489024,-73.97505990095844
603044,375,Nitrogen dioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Annual Average 2018,1/1/18,17.28,,Flatbush and Midwood,40.6319,-73.96150535216637
412804,375,Nitrogen dioxide (NO2),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Annual Average 2016,12/31/15,18.2,,Flushing and Whitestone,40.768,-73.82048191711087
825832,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Winter 2021-22,12/1/21,22.07527023,,Upper West Side,40.78891752489024,-73.97505990095844
741291,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2021,1/1/21,11.33729397,,Rockaway and Broad Channel,40.590225,-73.79470850859974
166679,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2009,6/1/09,8.44,,Rockaway and Broad Channel,40.590225,-73.79470850859974
165912,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2010-11,12/1/10,20.26,,Rockaway and Broad Channel,40.590225,-73.79470850859974
167800,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2013,12/1/12,12.54,,Rockaway and Broad Channel,40.590225,-73.79470850859974
336888,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2014-15,12/1/14,20.58,,Rockaway and Broad Channel,40.590225,-73.79470850859974
741290,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2021,6/1/21,4.850858294,,Rockaway and Broad Channel,40.590225,-73.79470850859974
603098,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2018,1/1/18,10.41,,Rockaway and Broad Channel,40.590225,-73.79470850859974
826075,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2021-22,12/1/21,15.70203388,,Rockaway and Broad Channel,40.590225,-73.79470850859974
170430,365,Fine particles (PM 2.5),Mean,ppb,CD,307,Sunset Park (CD7),Annual Average 2013,12/1/12,9.18,,Sunset Park,40.63975939938125,-74.01895011289722
410984,365,Fine particles (PM 2.5),Mean,ppb,CD,107,Upper West Side (CD7),Winter 2015-16,12/1/15,8.85,,Upper West Side,40.78891752489024,-73.97505990095844
742558,365,Fine particles (PM 2.5),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Winter 2020-21,12/1/20,6.33109299,,Rockaway and Broad Channel,40.590225,-73.79470850859974
169393,365,Fine particles (PM 2.5),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2010,6/1/10,10.74,,Rockaway and Broad Channel,40.590225,-73.79470850859974
169452,365,Fine particles (PM 2.5),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2011,6/1/11,10.59,,Rockaway and Broad Channel,40.590225,-73.79470850859974
166856,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2012,6/1/12,8.11,,Rockaway and Broad Channel,40.590225,-73.79470850859974
166915,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2013,6/1/13,7.88,,Rockaway and Broad Channel,40.590225,-73.79470850859974
213253,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Winter 2013-14,12/1/13,27.81,,Sunset Park,40.63975939938125,-74.01895011289722
643639,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Annual Average 2019,1/1/19,18.52,,Sunset Park,40.63975939938125,-74.01895011289722
603046,375,Nitrogen dioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Winter 2017-18,12/1/17,23.47,,Flatbush and Midwood,40.6319,-73.96150535216637
